地区,内容
来自江苏,这样的交流多美好啊！
来自广东,看来这是一盘大棋呀！[打call]
来自江苏,所以希望管管那些乱七八糟的拳，谢谢了
来自吉林,希望这是一个好的开始
来自福建,哈哈哈哈
来自云南,发展中国家[羞嗒嗒]
来自上海,发明 gfw 的人死了没[微笑]
来自青海,墙从另一边倒了？[doge]
来自山东,交流总是好事，哪怕对着骂街，总比不交流强
来自菲律宾,其实在外面一直是全球各国都可以互相交流的[允悲]只是国内有墙 一直没办法和其他国家的网友交流
来自广东,你不会以为你以前出去发能像现在小红书这么和谐吧？看看在那抱怨对白人太好的留子[微笑]
来自上海,网络长c要开口子了吗
来自黑龙江,男的少过去吧，在评论区没完没了的牛排，真不够丢人得
来自辽宁,本来这事儿是你们马桶魅力时刻，丢人的是你们吧
来自海南,来海南[心][心][心][心][心]
来自山东,微博和小破站有tiktok难民吗[笑而不语]
来自上海,好[good][鼓掌]
来自四川,电子宠物：我这前脚刚迈进伟大的自由世界，你们后脚就去抄我的老底！[哈哈]
来自北京,特兰谱醒来天塌了
来自湖南,证明全世界的（正常）普通人，其实是有共同的意识的，是可以沟通的。
来自江苏,现在才交流的根源又是什么呢🤣
来自北京,这才是我们的地球村🌏
地区,内容
来自上海,这才是互联网的初衷，连接世界，让世界各地的人们可以相互了解沟通。也许这次只是机缘巧合暂时开启的一道门缝，很快又会合上，但是不同国家的人民有了一次难得的直接交流的机会，挺好
来自海南,大概率不会封禁，顶多加大平台审核，这波宣传效果比免签来的更大，马上过年了，让外国人狠狠感受下年味[doge]
来自广东,要封的也不会是我国，我国现在提倡的是开放，用开放来应对美国的封锁。
来自上海,直接交流才是最好的避免误解方式。
来自山西,它就是不让你直接交流，它就是要让误解[汗]
来自河北,放心 总会有那么一撮人会破坏这种环境的 到时候只怕误解会加深
来自山西,为啥我听哭了[心][赞][泪]华流是人类没有中断过的文明，华流是我们的根也是世界的根[给你小心心]我们从“洋务运动”到“洋悟运动”走了多少风雨路，受了多少屈辱蹂躏[泪]我们站起后，仿佛看到盛唐“尊我华夏”的时代，这一刻，我们很开心……中华人民共和国万岁，世界人民大团结万岁[赞][心][泪]
来自江苏,姐妹是文科生吗，你这文案立意高度超越了央妈[嘻嘻]
来自河北,上强度了姐妹是吧[悲伤]
来自北京,世界人民大团结万岁  希望以后可以一直进行互动
来自天津,特别有意思的交流，有了翻译软件，不会英语的直接用中文评论，外国人想看就自己翻译
来自上海,20年前就可以直接互动的呀，大家都用一个平台
来自澳大利亚,刚有互联网那会的氛围也是这么好的。就是那个我是GG，你是MM吗的时代
来自安徽,那时候一个陌生网友也能聊一晚上[可爱]
来自广东,林子大了什么鸟都有，而且有些东西就是在走下坡路的
来自内蒙古,真的是外国没有我们想象的那么富，我们也没有他们想象的那个穷
来自辽宁,然后发现普通人其实都一样为生活奔波头疼，有钱人在哪都有钱[裂开][裂开]
来自浙江,他们那儿生活成本很高[允悲] 可能也就买买手机电脑这种消费品有点优势
来自四川,"希望能让其保持现状,才是人类正确交流进步"
来自广东,不知道有生之年能不能看到拆墙[doge]
来自广东,它们不会
来自北京,人类命运共同体的生动写照，为祖国自豪，我回头打算多分享一些城市美照，非遗文化，美食视频，让更多人了解中国文化。
来自湖北,天朝文化是能够真正实现人类命运共同体的。[求饶][求饶][求饶][求饶]
来自江苏,中国人的真是生活终于被人羡慕了[心][心][心][心]我们快乐，幸福，欧美人是理解不了的[心][心][心][鼓掌][鼓掌]
来自北京,感觉回到了9几年互联网刚开始的时候 那个时候也是世界大同啊[打call][打call]
来自浙江,那时候刚经历九十年代几大国耻。现在国家实力不可同日而语了
来自安徽,9几年的网上信息可杂了，乱七八糟的，没现在好。
来自北京,民间互相交流，很多以前别人抹黑我们的，他们的网民都用自己的眼睛澄清了，我们也对其他国家的真实生活有了更多的了解
来自上海,央妈支持，那么可以继续对账单了[doge]
来自云南,有人就怕你对账单[doge]
来自河北,说对了
来自河北,我们的伟人讲的世界人民大团结万岁，真是高瞻远瞩[good]
来自河北,以后中国才是灯塔
来自浙江,不需要灯塔了，因为太阳出来了
来自广东,不，我们是太阳
来自上海,敌意需要交流来化解，真心就能换取真心
来自山东,快过年了，可以借这个机会好好宣传中国春节
来自江苏,谁都无法想到，当时只是觉得太诧异太意外了～怎么也不会想到真的会有这么一天，世界各国人民可以在同一个平台上互相交流沟通，讨论自己的真实想法和心声。
来自北京,天安门城楼上那两句话的含金量还在上升
来自江苏,这就是互联网！这就是地球村[可怜]
来自四川,这，有点世界大同的味道了[赞][赞][赞]
来自河南,必将载入史册
地区,内容
来自湖北,这两天最好笑的就是看到曾经《意林》和公知们所描述的美国各种场景被国内网友们拿出来对账，然后一群美国人表示他们怎么不知道？
来自河南,“写这种东西的拿CIA的钱了吧”[doge]
来自北京,我看外国人真的喜欢看中国人做饭视频。
来自北京,我也爱看，我的煎饼果子，南瓜糕，米糕都是在上面学的
来自四川,主要是我们自己也爱看
来自浙江,[心][赞]有种恍惚的感觉，原来中国才是世界的中心啊！
来自广西,人家跑来玩一段时间也称为世界中心，那老美的应用不知被当作中心多少年了[嘘]
来自浙江,然后过几天就开始造墙，隔离ip了[哈欠]
来自江苏,潘多拉的盒子已经打开了，就算被禁心也不是原来的样子
来自黑龙江,想多了，看看去年上海开的会已经有准备了
来自河北,[话筒] 我们一直被限制使用外国社交平台，却无法阻挡外国人使用我们的社交平台……
来自广东,不利好殖畜公知就是大胜利[doge]
